Episode,Distance
0,333
1,321
2,324
3,322
4,330
5,70
6,327
7,328
8,329
9,314
10,164
11,324
12,329
13,332
14,322
15,167
16,320
17,321
18,327
19,326
20,243
21,320
22,321
23,320
24,329
25,19
26,332
27,328
28,323
29,323
30,231
31,328
32,319
33,327
34,327
35,317
36,323
37,323
38,324
39,325
40,154
41,324
42,321
43,326
44,312
45,271
46,325
47,317
48,321
49,324
50,199
51,329
52,325
53,328
54,325
55,44
56,320
57,317
58,326
59,330
60,56
61,326
62,329
63,330
64,321
65,122
66,326
67,326
68,329
69,332
70,150
71,321
72,326
73,319
74,330
75,90
76,332
77,331
78,326
79,326
80,166
81,326
82,326
83,326
84,326
85,293
86,331
87,323
88,327
89,321
90,150
91,323
92,328
93,328
94,326
95,22
96,321
97,329
98,330
99,327
100,65
101,329
102,328
103,330
104,320
105,257
106,328
107,325
108,330
109,316
110,55
111,324
112,322
113,330
114,324
115,88
116,323
117,330
118,331
119,322
120,62
121,323
122,327
123,332
124,323
125,326
126,329
127,329
128,315
129,327
130,154
131,330
132,324
133,321
134,329
135,181
136,319
137,329
138,325
139,313
140,294
141,333
142,331
143,326
144,317
145,29
146,329
147,323
148,326
149,331
150,19
151,328
152,328
153,327
154,326
155,275
156,306
157,326
158,318
159,328
160,55
161,325
162,318
163,327
164,329
165,329
166,330
167,329
168,316
169,321
170,240
171,326
172,333
173,328
174,330
175,179
176,328
177,325
178,329
179,328
180,58
181,323
182,331
183,321
184,330
185,132
186,325
187,328
188,322
189,312
190,80
191,328
192,331
193,324
194,329
195,251
196,324
197,331
198,324
199,325
200,72
201,329
202,331
203,325
204,326
205,52
206,329
207,331
208,324
209,327
210,43
211,315
212,324
213,331
214,322
215,281
216,333
217,329
218,325
219,330
220,175
221,326
222,333
223,328
224,329
225,76
226,332
227,325
228,328
229,315
230,33
231,331
232,328
233,325
234,326
235,137
236,327
237,323
238,321
239,330
240,154
241,327
242,319
243,331
244,327
245,174
246,327
247,325
248,315
249,313
250,237
251,323
252,330
253,310
254,325
255,18
256,322
257,323
258,327
259,321
260,139
261,329
262,322
263,326
264,329
265,36
266,328
267,329
268,297
269,316
270,259
271,329
272,332
273,330
274,328
275,213
276,313
277,326
278,333
279,327
280,124
281,331
282,323
283,323
284,330
285,263
286,333
287,327
288,327
289,326
290,3
291,313
292,325
293,324
294,328
295,153
296,333
297,333
298,332
299,328
300,332
301,319
302,325
303,322
304,317
305,43
306,326
307,322
308,319
309,329
310,317
311,314
312,324
313,327
314,329
315,57
316,326
317,329
318,324
319,333
320,102
321,326
322,326
323,329
324,301
325,169
326,314
327,327
328,324
329,326
330,206
331,329
332,322
333,332
334,331
335,37
336,326
337,328
338,321
339,328
340,75
341,329
