--- Episode 0 ---
Step 0: Reward = 4
Step 1: Reward = 4
Step 2: Reward = -6
Step 3: Reward = -101
--- Episode 100 ---
Step 0: Reward = 4
Step 1: Reward = 4
Step 2: Reward = 4
Step 3: Reward = 9
Step 4: Reward = 9
Step 5: Reward = 9
Step 6: Reward = 9
Step 7: Reward = 9
Step 8: Reward = 9
Step 9: Reward = 4
Step 10: Reward = 4
Step 11: Reward = 4
Step 12: Reward = 4
Step 13: Reward = -6
Step 14: Reward = 4
Step 15: Reward = -6
Step 16: Reward = -6
Step 17: Reward = -6
Step 18: Reward = -6
Step 19: Reward = -6
Step 20: Reward = -6
Step 21: Reward = -6
Step 22: Reward = -101
--- Episode 200 ---
Step 0: Reward = 4
Step 1: Reward = 9
Step 2: Reward = 14
Step 3: Reward = 9
Step 4: Reward = 14
Step 5: Reward = 9
Step 6: Reward = 4
Step 7: Reward = 9
Step 8: Reward = 4
Step 9: Reward = 9
Step 10: Reward = 4
Step 11: Reward = -6
Step 12: Reward = -6
Step 13: Reward = -6
Step 14: Reward = -6
Step 15: Reward = -6
Step 16: Reward = -6
Step 17: Reward = -6
Step 18: Reward = -101
--- Episode 300 ---
Step 0: Reward = 4
Step 1: Reward = 9
Step 2: Reward = 14
Step 3: Reward = 19
Step 4: Reward = 14
Step 5: Reward = 9
Step 6: Reward = -11
Step 7: Reward = -11
Step 8: Reward = -11
Step 9: Reward = -11
Step 10: Reward = -11
Step 11: Reward = -11
Step 12: Reward = -11
Step 13: Reward = -11
Step 14: Reward = -11
Step 15: Reward = -101
--- Episode 400 ---
Step 0: Reward = 4
Step 1: Reward = 4
Step 2: Reward = 4
Step 3: Reward = 4
Step 4: Reward = 4
Step 5: Reward = 4
Step 6: Reward = 4
Step 7: Reward = 9
Step 8: Reward = 14
Step 9: Reward = 19
Step 10: Reward = 14
Step 11: Reward = -21
Step 12: Reward = 19
Step 13: Reward = 19
Step 14: Reward = 19
Step 15: Reward = 19
Step 16: Reward = -1
Step 17: Reward = -101
--- Episode 500 ---
Step 0: Reward = 4
Step 1: Reward = 9
Step 2: Reward = 14
Step 3: Reward = 19
Step 4: Reward = 24
Step 5: Reward = 24
Step 6: Reward = 24
Step 7: Reward = 24
Step 8: Reward = 24
Step 9: Reward = -101
--- Episode 600 ---
Step 0: Reward = 4
Step 1: Reward = 9
Step 2: Reward = 14
Step 3: Reward = 19
Step 4: Reward = 24
Step 5: Reward = 24
Step 6: Reward = 24
Step 7: Reward = 24
Step 8: Reward = 24
Step 9: Reward = 9
Step 10: Reward = -21
Step 11: Reward = -101
--- Episode 700 ---
Step 0: Reward = 4
Step 1: Reward = 9
Step 2: Reward = 14
Step 3: Reward = 19
Step 4: Reward = 24
Step 5: Reward = 24
Step 6: Reward = 24
Step 7: Reward = -26
Step 8: Reward = 24
Step 9: Reward = 24
Step 10: Reward = 4
Step 11: Reward = -101
--- Episode 800 ---
Step 0: Reward = 4
Step 1: Reward = 9
Step 2: Reward = 14
Step 3: Reward = 19
Step 4: Reward = 24
Step 5: Reward = 24
Step 6: Reward = 24
Step 7: Reward = -26
Step 8: Reward = 24
Step 9: Reward = 24
Step 10: Reward = 4
Step 11: Reward = -101
--- Episode 900 ---
Step 0: Reward = 4
Step 1: Reward = 9
Step 2: Reward = 14
Step 3: Reward = 19
Step 4: Reward = 24
Step 5: Reward = 24
Step 6: Reward = 24
Step 7: Reward = -26
Step 8: Reward = 24
Step 9: Reward = 24
Step 10: Reward = 4
Step 11: Reward = -101
--- Episode 1000 ---
Step 0: Reward = 4
Step 1: Reward = 9
Step 2: Reward = 14
Step 3: Reward = 19
Step 4: Reward = 24
Step 5: Reward = 24
Step 6: Reward = 24
Step 7: Reward = 19
Step 8: Reward = 14
Step 9: Reward = 9
Step 10: Reward = 4
Step 11: Reward = 4
Step 12: Reward = 4
Step 13: Reward = 4
Step 14: Reward = -6
Step 15: Reward = -101
--- Episode 1100 ---
Step 0: Reward = 4
Step 1: Reward = 9
Step 2: Reward = 14
Step 3: Reward = 19
Step 4: Reward = 24
Step 5: Reward = 24
Step 6: Reward = 24
Step 7: Reward = 19
Step 8: Reward = 14
Step 9: Reward = -16
Step 10: Reward = 14
Step 11: Reward = 9
Step 12: Reward = -1
Step 13: Reward = -101
--- Episode 1200 ---
Step 0: Reward = 4
Step 1: Reward = 9
Step 2: Reward = 14
Step 3: Reward = 19
Step 4: Reward = 24
Step 5: Reward = 24
Step 6: Reward = 24
Step 7: Reward = 19
Step 8: Reward = 14
Step 9: Reward = -16
Step 10: Reward = 14
Step 11: Reward = 9
Step 12: Reward = -11
Step 13: Reward = -1
Step 14: Reward = -6
Step 15: Reward = -6
Step 16: Reward = -101
--- Episode 1300 ---
Step 0: Reward = 4
Step 1: Reward = 9
Step 2: Reward = 14
Step 3: Reward 
